"type","date","open","close","high","volume","low"
"support",1536533400,6253.38,6255.38,6278.81,365.8709725799999,6233.13
"resistance",1536537000,6255.38,6253.2,6262.9,412.27445538000006,6230.67
"support",1536540600,6253.2,6331.8,6375.13,707.9540476400003,6247.78
"resistance",1536544200,6331.79,6317,6333.61,262.0804353400001,6311
"support",1536558600,6284.99,6298,6298,252.0270437000001,6278.97
"resistance",1536565800,6309.75,6299.99,6321.5,99.22642204000003,6299
"support",1536576600,6285,6298.94,6306,160.58122715,6272.99
"resistance",1536580200,6298.94,6297.2,6304,167.18229513999998,6282.9
"support",1536587400,6292.99,6299.01,6341.21,480.54430245000026,6289.07
"resistance",1536591000,6299.01,6295,6304.8,296.7470180700001,6278
"support",1536601800,6265.81,6273.58,6273.58,296.46639666999994,6250
"resistance",1536616200,6298.99,6285.65,6298.99,203.21881577999994,6267.4
"support",1536619800,6285.65,6294.84,6297.42,217.78068427999986,6279.01
"resistance",1536637800,6367.43,6327.61,6367.44,180.23669300999998,6323.49
"support",1536641400,6327.62,6330.17,6332.47,121.44350010999996,6312
"resistance",1536648600,6335.96,6310.43,6335.97,144.3717138600001,6300.24
"support",1536655800,6307.87,6325.95,6328.82,76.97814318,6307.86
"resistance",1536659400,6325.95,6320.01,6334.7,83.90760982,6306.18
"support",1536666600,6266,6273.78,6280,176.84206748999998,6257.81
"resistance",1536673800,6274.38,6269.57,6285,228.35032428000008,6257.95
"support",1536681000,6237.49,6249.8,6262.68,339.9691318800001,6235.57
"resistance",1536684600,6249.81,6242.44,6260,357.7285729799999,6228.13
"support",1536691800,6235,6255.85,6255.85,546.71432061,6230
"resistance",1536695400,6255.86,6249.31,6271.94,429.83582287000036,6239.1
"support",1536699000,6246.14,6282.27,6287,315.2573203699998,6236
"resistance",1536706200,6293.75,6268.36,6294.94,175.71161410000005,6267.87
"support",1536713400,6264.01,6268.39,6268.4,260.14136326000005,6254.66
"resistance",1536717000,6268.39,6250,6268.4,295.3956379499999,6236.57
"support",1536724200,6237.76,6268.89,6277.91,212.10089183999997,6235
"resistance",1536731400,6283.3,6254.22,6283.3,128.60105174999998,6248.82
"support",1536742200,6221.08,6235.56,6250,172.98508465999998,6221.08
"resistance",1536745800,6235.57,6235.56,6255,162.71638410999995,6235.04
"support",1536749400,6235.56,6238.44,6239.37,262.54725153000004,6210.03
"resistance",1536763800,6274.86,6254.41,6277.99,273.87280294999994,6249
"support",1536767400,6254.41,6260,6274.39,284.5603532199999,6252.77
"resistance",1536778200,6303.01,6299.99,6322.19,566.99140411,6287.19
"support",1536785400,6298.67,6305.52,6323.78,316.89392753,6296.39
"resistance",1536799800,6400.01,6394.8,6408.81,332.98572538999997,6383.1
"support",1536810600,6387.42,6404.44,6405.78,194.58423191999998,6381.3
"resistance",1536814200,6404.06,6371,6404.06,271.9862996499999,6369.11
"support",1536817800,6371.28,6380.99,6388.56,127.78550545000003,6371.27
"resistance",1536850200,6500,6485,6500.01,465.9217146900002,6471
"support",1536853800,6485,6509,6523.84,514.4482332799998,6480
"resistance",1536857400,6509,6499,6520,469.90724615000005,6485
"support",1536868200,6448,6462.33,6467.69,477.04680203000015,6410
"resistance",1536871800,6462.34,6459.38,6467.17,340.87422081,6441.93
"support",1536875400,6459.38,6489.73,6500.02,337.8666861000002,6456.75
"resistance",1536879000,6489.73,6488.11,6513.32,365.9212183699999,6474
"support",1536886200,6470.01,6481.32,6494,197.50294901000007,6457.43
"resistance",1536897000,6566.23,6544,6566.24,197.81499774999997,6540
"support",1536900600,6544,6566.01,6567.15,131.25083858000002,6538
"resistance",1536904200,6566.01,6550,6566.01,115.66856508999999,6544
"support",1536907800,6550,6558,6580,148.30981814,6549.99
"resistance",1536911400,6558.01,6524,6561,339.91660165,6504.79
"support",1536918600,6434.92,6444.39,6459.58,163.92774490999994,6425.26
"resistance",1536925800,6471.88,6444.76,6475,185.49020633000003,6444.75
"support",1536929400,6444.75,6456,6467,242.93978878000001,6426.71
"resistance",1536933000,6456,6440.13,6456,233.29776041,6432.39
"support",1536936600,6440.14,6470.36,6475,347.4069114699999,6438.08
"resistance",1536943800,6504.04,6489.24,6514.56,286.5774644800001,6470
"support",1536951000,6469.32,6521.68,6522.31,400.2448487600002,6467
"resistance",1536965400,6531.44,6494.01,6531.44,334.63488684999965,6468
"support",1536972600,6483,6515,6515,215.2257519700001,6482.79
"resistance",1536979800,6516.99,6489.35,6516.99,128.47092468,6480.22
"support",1536983400,6489.35,6497.37,6500.01,88.30465485999999,6488.51
"resistance",1536987000,6497.37,6483.36,6513.67,103.28273376000008,6482.4
"support",1536990600,6483.37,6487.46,6491.86,91.04309381999998,6470
"resistance",1537001400,6523.99,6518.78,6523.99,80.1341147,6512.99
"support",1537005000,6518.79,6522.48,6550,138.51224954999972,6518.78
"resistance",1537008600,6522.48,6519.17,6523,84.40931921999997,6499.9
"support",1537012200,6519.16,6529.99,6530.11,70.10679551,6517.39
"resistance",1537019400,6552.16,6538.06,6565,272.47712680999996,6538.05
"support",1537026600,6529.99,6550.83,6556.5,153.09631453000003,6529.52
"resistance",1537030200,6550.82,6550.68,6557,184.30056828000002,6532
"support",1537048200,6499,6532.01,6532.56,96.98400079000001,6498.4
"resistance",1537051800,6532,6529.75,6532.01,91.82384372,6516.71
"support",1537073400,6444.14,6470.81,6470.82,94.82548455999998,6444.12
"resistance",1537077000,6470.82,6463.85,6470.82,41.15681613999999,6458.01
"support",1537084200,6450.53,6482.61,6500,87.9233234,6443.56
"resistance",1537095000,6497.99,6497.01,6515,105.43946079,6496.11
"support",1537098600,6497.01,6498,6498,52.20064013999998,6482.41
"resistance",1537102200,6498,6481,6507.05,94.10469628999995,6480
"support",1537109400,6462.83,6475,6480.41,88.60616208999997,6462.82
"resistance",1537113000,6478.81,6478.02,6490,110.65626647,6474.07
"support",1537120200,6460.73,6481.27,6489.93,123.30829443,6460.72
"resistance",1537131000,6502.01,6499.01,6502.25,91.12250130000004,6490
"support",1537138200,6489.01,6496.99,6502.95,110.90701542999997,6487
"resistance",1537145400,6524.16,6519.99,6528,123.03272397999999,6510.28
"support",1537163400,6484.66,6484.99,6485,78.83006958999998,6470.83
"resistance",1537167000,6485,6477.49,6485,80.98153581999998,6463
"support",1537174200,6466.57,6492.69,6501.08,414.83085975999984,6412.84
"resistance",1537177800,6492.69,6475.4,6498.04,145.69638607,6475.39
"support",1537199400,6245.87,6276.11,6289.8,582.45560346,6245.86
"resistance",1537206600,6283.58,6282.01,6314.03,412.5662451699999,6282.01
"support",1537210200,6282.01,6284.43,6303.94,223.43122586999996,6275
"resistance",1537213800,6284.44,6227.16,6287.16,981.7950032700002,6207.55
"support",1537217400,6227.16,6242.01,6247.19,278.67415615,6211.1
"resistance",1537228200,6260,6253.91,6260.01,221.8367911699999,6228
"support",1537242600,6243.17,6243.19,6251.52,218.24191114999996,6236
"resistance",1537257000,6266.91,6265.95,6280,244.42669339,6255
"support",1537267800,6244.56,6270.22,6270.22,172.75135021999998,6236.72
"resistance",1537282200,6369.19,6346.26,6384.04,400.69708323000003,6340.71
"support",1537285800,6346.25,6348.21,6360.81,334.0443665300002,6345
"resistance",1537289400,6348.2,6320,6348.21,346.73404695,6307.32
"support",1537293000,6320.01,6326.76,6336.39,362.98508752999976,6309.17
"resistance",1537300200,6328,6323.23,6329,430.3049846899999,6290.1
"support",1537303800,6323.23,6324.81,6329,261.37731928999995,6310
"resistance",1537311000,6347,6340.26,6349.98,146.50221735999995,6329.99
"support",1537318200,6310.35,6339.79,6341.69,225.74104644999997,6310.35
